%%% Global Ocean Heat Content estimate from 1993 to 2019 (Monthly)  v1.0.1
%%%Deep-sea remote sensing retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su and Lu, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% Update date: Dec. 2020 by HaoJie.Zhang and Wenfang.Lu
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 (/sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
[year]	[month]	[ OHC0-300m]	[ Error]	[ OHC0-700m]	[ Error]	[OHC0-1500m]	[ Error]	[OHC0-2000m]	[Error]
2012	1	3.17 	0.38 	4.77 	0.36 	6.40 	0.48 	6.45 	0.79 
2012	2	3.30 	0.37 	5.07 	0.35 	6.77 	0.50 	6.80 	0.82 
2012	3	3.48 	0.35 	5.30 	0.34 	7.03 	0.49 	7.08 	0.83 
2012	4	3.53 	0.33 	5.35 	0.35 	7.08 	0.53 	7.11 	0.81 
2012	5	3.64 	0.32 	5.45 	0.36 	7.26 	0.51 	7.30 	0.79 
2012	6	3.74 	0.30 	5.63 	0.32 	7.53 	0.54 	7.56 	0.76 
2012	7	3.99 	0.29 	5.99 	0.29 	8.05 	0.53 	8.04 	0.65 
2012	8	4.21 	0.29 	6.31 	0.26 	8.40 	0.54 	8.45 	0.58 
2012	9	4.31 	0.28 	6.47 	0.26 	8.59 	0.52 	8.79 	0.54 
2012	10	4.42 	0.27 	6.65 	0.25 	8.83 	0.54 	9.05 	0.57 
2012	11	4.45 	0.24 	6.60 	0.21 	8.73 	0.55 	8.98 	0.59 
2012	12	4.58 	0.23 	6.79 	0.22 	8.86 	0.55 	9.16 	0.59 
2013	1	4.65 	0.24 	6.95 	0.20 	8.94 	0.55 	9.24 	0.53 
2013	2	4.69 	0.22 	6.95 	0.16 	8.89 	0.53 	9.25 	0.52 
2013	3	4.73 	0.22 	6.97 	0.14 	8.83 	0.53 	9.23 	0.51 
2013	4	4.79 	0.20 	6.97 	0.11 	8.71 	0.52 	9.21 	0.53 
2013	5	4.82 	0.19 	7.01 	0.16 	8.65 	0.51 	9.22 	0.57 
2013	6	4.86 	0.17 	7.00 	0.16 	8.53 	0.52 	9.12 	0.64 
2013	7	4.79 	0.17 	6.91 	0.15 	8.37 	0.51 	8.98 	0.70 
2013	8	4.81 	0.18 	6.94 	0.17 	8.44 	0.50 	9.04 	0.69 
2013	9	4.86 	0.21 	7.05 	0.19 	8.51 	0.51 	9.07 	0.64 
2013	10	4.95 	0.24 	7.09 	0.25 	8.53 	0.49 	9.12 	0.60 
