%%% Global Ocean Heat Content estimate from 1993 to 2024 (Monthly)  v1.1.4
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.4 Update date: Oct. 2025 by Wenfang Lu (extended to 2024), updating ADT data to 1/8-degree dt product since 2023
%%% v1.1.3 Update date: Apr. 2024 by Wenfang Lu (extended to 2023), corrected 2018-2022 bias due to input data
%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]		
2009	4	2.14	0.69	2.98 	0.87 	3.62 	1.08 	3.68 	2.06 		
2009	5	2.16	0.64	2.97 	1.39 	3.63 	1.35 	3.64 	2.14 		
2009	6	2.24	0.9	3.10 	1.70 	3.80 	1.34 	3.81 	1.71 		
2009	7	2.32	0.92	3.27 	1.86 	3.99 	1.93 	4.01 	1.78 		
2009	8	2.37	0.85	3.40 	2.25 	4.16 	2.03 	4.18 	1.84 		
2009	9	2.43	1.23	3.49 	2.36 	4.35 	2.14 	4.35 	1.26 		
2009	10	2.5	1.13	3.48 	2.00 	4.32 	2.83 	4.33 	0.84 		
2009	11	2.51	1.24	3.47 	1.67 	4.37 	2.07 	4.38 	0.96 		
2009	12	2.52	0.87	3.55 	1.17 	4.51 	1.25 	4.53 	0.77 		
2010	1	2.55	0.99	3.72 	1.59 	4.76 	2.26 	4.76 	0.70 		
2010	2	2.52	0.77	3.71 	1.55 	4.78 	1.67 	4.75 	1.07 		
2010	3	2.44	0.58	3.69 	1.29 	4.83 	1.44 	4.80 	1.81 		
2010	4	2.33	0.61	3.58 	0.97 	4.75 	2.15 	4.71 	2.05 		
2010	5	2.33	0.73	3.63 	0.68 	4.76 	1.64 	4.78 	2.27 		
2010	6	2.21	0.86	3.45 	1.09 	4.57 	1.21 	4.53 	1.26 		
2010	7	2.06	1.03	3.24 	1.01 	4.31 	1.42 	4.26 	1.07 		
2010	8	1.96	0.87	3.04 	1.52 	4.02 	1.21 	3.97 	1.59 		
2010	9	1.86	1.07	2.89 	1.47 	3.76 	1.37 	3.71 	0.97 		
2010	10	1.78	1.2	2.82 	1.91 	3.62 	1.82 	3.59 	0.96 		
2010	11	1.63	1.01	2.58 	1.78 	3.22 	1.89 	3.20 	1.62 		
2010	12	1.54	0.98	2.41 	1.09 	2.99 	1.34 	2.98 	1.09 		
2011	1	1.5	1.12	2.31 	1.51 	2.86 	1.54 	2.87 	0.75 		
2011	2	1.45	0.99	2.22 	1.48 	2.71 	1.55 	2.77 	1.36 		
2011	3	1.45	0.9	2.22 	0.94 	2.66 	1.31 	2.75 	1.17 		
2011	4	1.51	0.57	2.33 	1.13 	2.71 	1.38 	2.85 	0.89 		
2011	5	1.53	0.74	2.24 	0.98 	2.58 	1.44 	2.72 	1.54 		
2011	6	1.68	0.85	2.44 	1.09 	2.84 	1.34 	2.99 	0.97 		
2011	7	1.77	0.78	2.48 	1.82 	2.90 	1.13 	3.04 	1.44 		
2011	8	1.82	0.86	2.56 	1.87 	3.09 	1.71 	3.18 	1.33 		
2011	9	1.94	0.84	2.73 	1.90 	3.32 	1.71 	3.41 	1.26 		
2011	10	2	1.19	2.80 	2.14 	3.49 	2.11 	3.56 	1.80 		
2011	11	2.18	1.13	3.09 	1.34 	3.92 	1.91 	3.98 	2.23 		
